Name,Code,Difference
(GMT+08:00) China Standard Time - Shanghai,Asia/Shanghai,+08:00
(GMT+08:00) Hong Kong Standard Time,Asia/Hong_Kong,+08:00
(GMT+08:00) Irkutsk Standard Time,Asia/Irkutsk,+08:00
(GMT+08:00) Malaysia Time - Kuala Lumpur,Asia/Kuala_Lumpur,+08:00
(GMT+08:00) Malaysia Time - Kuching,Asia/Kuching,+08:00
(GMT+08:00) Philippine Standard Time,Asia/Manila,+08:00
(GMT+08:00) Singapore Standard Time,Asia/Singapore,+08:00
(GMT+08:00) Taipei Standard Time,Asia/Taipei,+08:00
(GMT+08:00) Ulaanbaatar Standard Time - Choibalsan,Asia/Choibalsan,+08:00
(GMT+08:00) Ulaanbaatar Standard Time - Ulaanbaatar,Asia/Ulaanbaatar,+08:00
(GMT+08:45) Australian Central Western Standard Time,Australia/Eucla,+08:45
(GMT+09:00) East Timor Time,Asia/Dili,+09:00
(GMT+09:00) Eastern Indonesia Time,Asia/Jayapura,+09:00
(GMT+09:00) Japan Standard Time,Asia/Tokyo,+09:00
(GMT+09:00) Korean Standard Time - Pyongyang,Asia/Pyongyang,+09:00
(GMT+09:00) Korean Standard Time - Seoul,Asia/Seoul,+09:00
(GMT+09:00) Palau Time,Pacific/Palau,+09:00
(GMT+09:00) Yakutsk Standard Time - Chita,Asia/Chita,+09:00
(GMT+09:00) Yakutsk Standard Time - Khandyga,Asia/Khandyga,+09:00
(GMT+09:00) Yakutsk Standard Time - Yakutsk,Asia/Yakutsk,+09:00
(GMT+09:30) Australian Central Standard Time,Australia/Darwin,+09:30
(GMT+09:30) Central Australia Time - Adelaide,Australia/Adelaide,+09:30
(GMT+09:30) Central Australia Time - Broken Hill,Australia/Broken_Hill,+09:30
(GMT+10:00) Australian Eastern Standard Time - Brisbane,Australia/Brisbane,+10:00
(GMT+10:00) Australian Eastern Standard Time - Lindeman,Australia/Lindeman,+10:00
(GMT+10:00) Chamorro Standard Time,Pacific/Guam,+10:00
(GMT+10:00) Chuuk Time,Pacific/Chuuk,+10:00
(GMT+10:00) Eastern Australia Time - Hobart,Australia/Hobart,+10:00
(GMT+10:00) Eastern Australia Time - Macquarie,Antarctica/Macquarie,+10:00
(GMT+10:00) Eastern Australia Time - Melbourne,Australia/Melbourne,+10:00
(GMT+10:00) Eastern Australia Time - Sydney,Australia/Sydney,+10:00
(GMT+10:00) Papua New Guinea Time,Pacific/Port_Moresby,+10:00
(GMT+10:00) Vladivostok Standard Time - Ust-Nera,Asia/Ust-Nera,+10:00
(GMT+10:00) Vladivostok Standard Time - Vladivostok,Asia/Vladivostok,+10:00
(GMT+10:30) Lord Howe Time,Australia/Lord_Howe,+10:30
(GMT+11:00) Bougainville Time,Pacific/Bougainville,+11:00
(GMT+11:00) Casey Time,Antarctica/Casey,+11:00
(GMT+11:00) Kosrae Time,Pacific/Kosrae,+11:00
(GMT+11:00) Magadan Standard Time,Asia/Magadan,+11:00
(GMT+11:00) New Caledonia Standard Time,Pacific/Noumea,+11:00
(GMT+11:00) Norfolk Island Time,Pacific/Norfolk,+11:00
(GMT+11:00) Ponape Time,Pacific/Pohnpei,+11:00
(GMT+11:00) Sakhalin Standard Time,Asia/Sakhalin,+11:00
(GMT+11:00) Solomon Islands Time,Pacific/Guadalcanal,+11:00
(GMT+11:00) Srednekolymsk Time,Asia/Srednekolymsk,+11:00
(GMT+11:00) Vanuatu Standard Time,Pacific/Efate,+11:00
(GMT+12:00) Anadyr Standard Time,Asia/Anadyr,+12:00
(GMT+12:00) Fiji Standard Time,Pacific/Fiji,+12:00
(GMT+12:00) Gilbert Islands Time,Pacific/Tarawa,+12:00
(GMT+12:00) Marshall Islands Time - Kwajalein,Pacific/Kwajalein,+12:00
(GMT+12:00) Marshall Islands Time - Majuro,Pacific/Majuro,+12:00
(GMT+12:00) Nauru Time,Pacific/Nauru,+12:00
(GMT+12:00) New Zealand Time,Pacific/Auckland,+12:00
(GMT+12:00) Petropavlovsk-Kamchatski Standard Time,Asia/Kamchatka,+12:00
(GMT+12:00) Tuvalu Time,Pacific/Funafuti,+12:00
(GMT+12:00) Wake Island Time,Pacific/Wake,+12:00
(GMT+12:00) Wallis & Futuna Time,Pacific/Wallis,+12:00
(GMT+12:45) Chatham Time,Pacific/Chatham,+12:45
(GMT+13:00) Apia Standard Time,Pacific/Apia,+13:00
(GMT+13:00) Phoenix Islands Time,Pacific/Kanton,+13:00
(GMT+13:00) Tokelau Time,Pacific/Fakaofo,+13:00
(GMT+13:00) Tonga Standard Time,Pacific/Tongatapu,+13:00
(GMT+14:00) Line Islands Time,Pacific/Kiritimati,+14:00
